Date,Sg. Galas Dabong (m)
1/1/2016,27.69
2/1/2016,27.7
3/1/2016,26.8
4/1/2016,26.32
5/1/2016,26.22
6/1/2016,26.05
7/1/2016,25.98
8/1/2016,25.89
9/1/2016,25.81
10/1/2016,25.68
11/1/2016,25.51
12/1/2016,25.47
13/1/2016,25.41
14/1/2016,25.41
15/1/2016,25.59
16/1/2016,25.58
17/1/2016,26.63
18/1/2016,26.52
19/1/2016,26.06
20/1/2016,25.59
21/1/2016,25.38
22/1/2016,25.47
23/1/2016,25.43
24/1/2016,25.22
25/1/2016,25.15
26/1/2016,25.64
27/1/2016,26.27
28/1/2016,26.18
29/1/2016,25.94
30/1/2016,25.63
31/1/2016,25.39
1/2/2016,25.25
2/2/2016,25.2
3/2/2016,25.27
4/2/2016,25.73
5/2/2016,26.37
6/2/2016,28.16
7/2/2016,28.19
8/2/2016,27.55
9/2/2016,26.47
10/2/2016,26.07
11/2/2016,25.86
12/2/2016,25.89
13/2/2016,26.26
14/2/2016,26.38
15/2/2016,25.85
16/2/2016,26.2
17/2/2016,26.07
18/2/2016,25.63
19/2/2016,25.49
20/2/2016,25.72
21/2/2016,25.46
22/2/2016,25.28
23/2/2016,25.33
24/2/2016,25.42
25/2/2016,25.27
26/2/2016,25.18
27/2/2016,25.18
28/2/2016,25.65
29/2/2016,25.61
1/3/2016,25.56
2/3/2016,25.3
3/3/2016,25.19
4/3/2016,25.06
5/3/2016,25.03
6/3/2016,24.99
7/3/2016,24.97
8/3/2016,24.98
9/3/2016,24.87
10/3/2016,24.85
11/3/2016,24.86
12/3/2016,24.98
13/3/2016,24.8
14/3/2016,24.69
15/3/2016,24.74
16/3/2016,24.68
17/3/2016,24.65
18/3/2016,24.69
19/3/2016,24.72
20/3/2016,24.62
21/3/2016,24.58
22/3/2016,?
23/3/2016,?
24/3/2016,?
25/3/2016,?
26/3/2016,?
27/3/2016,?
28/3/2016,?
29/3/2016,?
30/3/2016,?
31/3/2016,?
1/4/2016,?
2/4/2016,?
3/4/2016,?
4/4/2016,?
5/4/2016,?
6/4/2016,?
7/4/2016,?
8/4/2016,?
9/4/2016,?
10/4/2016,?
11/4/2016,?
12/4/2016,?
13/4/2016,?
14/4/2016,?
15/4/2016,?
16/4/2016,?
17/4/2016,?
18/4/2016,?
19/4/2016,?
20/4/2016,?
21/4/2016,?
22/4/2016,?
23/4/2016,?
24/4/2016,?
25/4/2016,?
26/4/2016,?
27/4/2016,?
28/4/2016,?
29/4/2016,?
30/4/2016,?
1/5/2016,?
2/5/2016,?
3/5/2016,?
4/5/2016,?
5/5/2016,?
6/5/2016,?
7/5/2016,?
8/5/2016,?
9/5/2016,?
10/5/2016,?
11/5/2016,?
12/5/2016,?
13/5/2016,?
14/5/2016,?
15/5/2016,?
16/5/2016,?
17/5/2016,?
18/5/2016,?
19/5/2016,?
20/5/2016,?
21/5/2016,?
22/5/2016,?
23/5/2016,?
24/5/2016,?
25/5/2016,?
26/5/2016,?
27/5/2016,?
28/5/2016,?
29/5/2016,?
30/5/2016,?
31/5/2016,?
1/6/2016,?
2/6/2016,?
3/6/2016,?
4/6/2016,?
5/6/2016,?
6/6/2016,?
7/6/2016,?
8/6/2016,?
9/6/2016,?
10/6/2016,?
11/6/2016,?
12/6/2016,?
13/6/2016,?
14/6/2016,?
15/6/2016,?
16/6/2016,?
17/6/2016,?
18/6/2016,?
19/6/2016,?
20/6/2016,?
21/6/2016,?
22/6/2016,?
23/6/2016,?
24/6/2016,?
25/6/2016,?
26/6/2016,?
27/6/2016,?
28/6/2016,?
29/6/2016,?
30/6/2016,?
1/7/2016,?
2/7/2016,?
3/7/2016,?
4/7/2016,?
5/7/2016,?
6/7/2016,?
7/7/2016,?
8/7/2016,?
9/7/2016,?
10/7/2016,?
11/7/2016,?
12/7/2016,?
13/7/2016,?
14/7/2016,?
15/7/2016,?
16/7/2016,?
17/7/2016,?
18/7/2016,?
19/7/2016,?
20/7/2016,?
21/7/2016,?
22/7/2016,?
23/7/2016,?
24/7/2016,?
25/7/2016,?
26/7/2016,?
27/7/2016,?
28/7/2016,?
29/7/2016,?
30/7/2016,?
31/7/2016,33.65
1/8/2016,?
2/8/2016,?
3/8/2016,?
4/8/2016,?
5/8/2016,?
6/8/2016,?
7/8/2016,?
8/8/2016,?
9/8/2016,?
10/8/2016,?
11/8/2016,?
12/8/2016,?
13/8/2016,?
14/8/2016,?
15/8/2016,?
16/8/2016,?
17/8/2016,?
18/8/2016,?
19/8/2016,?
20/8/2016,?
21/8/2016,?
22/8/2016,?
23/8/2016,?
24/8/2016,?
25/8/2016,?
26/8/2016,?
27/8/2016,?
28/8/2016,?
29/8/2016,?
30/8/2016,?
31/8/2016,?
1/9/2016,?
2/9/2016,?
3/9/2016,?
4/9/2016,?
5/9/2016,?
6/9/2016,?
7/9/2016,?
8/9/2016,?
9/9/2016,?
10/9/2016,?
11/9/2016,?
12/9/2016,?
13/9/2016,?
14/9/2016,?
15/9/2016,?
16/9/2016,?
17/9/2016,?
18/9/2016,?
19/9/2016,?
20/9/2016,?
21/9/2016,?
22/9/2016,?
23/9/2016,?
24/9/2016,?
25/9/2016,?
26/9/2016,?
27/9/2016,?
28/9/2016,?
29/9/2016,?
30/9/2016,?
1/10/2016,?
2/10/2016,?
3/10/2016,?
4/10/2016,?
5/10/2016,?
6/10/2016,?
7/10/2016,?
8/10/2016,?
9/10/2016,?
10/10/2016,?
11/10/2016,?
12/10/2016,?
13/10/2016,?
14/10/2016,?
15/10/2016,?
16/10/2016,?
17/10/2016,?
18/10/2016,?
19/10/2016,?
20/10/2016,?
21/10/2016,?
22/10/2016,?
23/10/2016,?
24/10/2016,?
25/10/2016,?
26/10/2016,?
27/10/2016,?
28/10/2016,?
29/10/2016,?
30/10/2016,29.16
31/10/2016,29.16
1/11/2016,?
2/11/2016,?
3/11/2016,?
4/11/2016,?
5/11/2016,?
6/11/2016,?
7/11/2016,?
8/11/2016,?
9/11/2016,?
10/11/2016,?
11/11/2016,?
12/11/2016,?
13/11/2016,?
14/11/2016,?
15/11/2016,?
16/11/2016,?
17/11/2016,28.38
18/11/2016,28.18
19/11/2016,28.26
20/11/2016,28.66
21/11/2016,30.56
22/11/2016,29.86
23/11/2016,29.12
24/11/2016,29.04
25/11/2016,29.02
26/11/2016,28.73
27/11/2016,28.85
28/11/2016,28.85
29/11/2016,29.03
30/11/2016,28.66
1/12/2016,28.77
2/12/2016,31.3
3/12/2016,30.79
4/12/2016,29.49
5/12/2016,29.26
6/12/2016,29.05
7/12/2016,29.77
8/12/2016,29.49
9/12/2016,29.75
10/12/2016,30.27
11/12/2016,31.26
12/12/2016,31.14
13/12/2016,29.2
14/12/2016,28.93
15/12/2016,28.73
16/12/2016,28.55
17/12/2016,28.55
18/12/2016,29.53
19/12/2016,29.02
20/12/2016,29.38
21/12/2016,29.29
22/12/2016,28.86
23/12/2016,28.75
24/12/2016,29.2
25/12/2016,30.65
26/12/2016,29.34
27/12/2016,29.33
28/12/2016,29.14
29/12/2016,28.79
30/12/2016,28.79
31/12/2016,28.79
1/1/2017,35.67
2/1/2017,33.24
3/1/2017,33.99
4/1/2017,31.95
5/1/2017,31.07
6/1/2017,30.49
7/1/2017,30.22
8/1/2017,29.91
9/1/2017,29.54
10/1/2017,29.33
11/1/2017,29.22
12/1/2017,29.31
13/1/2017,29.23
14/1/2017,28.93
15/1/2017,28.87
16/1/2017,28.8
17/1/2017,29.55
18/1/2017,30.15
19/1/2017,30.36
20/1/2017,30.84
21/1/2017,30.71
22/1/2017,33.79
23/1/2017,33.35
24/1/2017,35.62
25/1/2017,37.32
26/1/2017,37.49
27/1/2017,37.47
28/1/2017,37.98
29/1/2017,33.58
30/1/2017,31.78
31/1/2017,31.49
1/2/2017,30.93
2/2/2017,30.81
3/2/2017,30.71
4/2/2017,30.57
5/2/2017,30.38
6/2/2017,30.41
7/2/2017,30.16
8/2/2017,29.9
9/2/2017,29.78
10/2/2017,29.54
11/2/2017,29.6
12/2/2017,29.55
13/2/2017,29.59
14/2/2017,29.71
15/2/2017,29.93
16/2/2017,29.98
17/2/2017,29.63
18/2/2017,29.54
19/2/2017,29.65
20/2/2017,29.68
21/2/2017,29.38
22/2/2017,29.25
23/2/2017,29.27
24/2/2017,29.33
25/2/2017,29.32
26/2/2017,29.67
27/2/2017,30.61
28/2/2017,30.68
1/3/2017,30.53
2/3/2017,31.35
3/3/2017,31.88
4/3/2017,30.95
5/3/2017,29.91
6/3/2017,29.6
7/3/2017,29.55
8/3/2017,29.38
9/3/2017,29.17
10/3/2017,29.15
11/3/2017,28.98
12/3/2017,28.94
13/3/2017,28.82
14/3/2017,28.91
15/3/2017,28.94
16/3/2017,28.71
17/3/2017,28.78
18/3/2017,28.72
19/3/2017,28.71
20/3/2017,29.67
21/3/2017,29.45
22/3/2017,29.26
23/3/2017,28.8
24/3/2017,28.68
25/3/2017,28.7
26/3/2017,28.76
27/3/2017,28.59
28/3/2017,28.84
29/3/2017,28.87
30/3/2017,28.97
31/3/2017,29.78
1/4/2017,29.36
2/4/2017,29.91
3/4/2017,29.92
4/4/2017,29.89
5/4/2017,29.32
6/4/2017,29.09
7/4/2017,29.18
8/4/2017,29.98
9/4/2017,30.04
10/4/2017,29.33
11/4/2017,29.6
12/4/2017,29.84
13/4/2017,29.73
14/4/2017,29.72
15/4/2017,29.54
16/4/2017,29.02
17/4/2017,28.83
18/4/2017,28.98
19/4/2017,29.21
20/4/2017,29.48
21/4/2017,30.38
22/4/2017,29.68
23/4/2017,29.26
24/4/2017,29.07
25/4/2017,29.17
26/4/2017,29.17
27/4/2017,29.22
28/4/2017,29.03
29/4/2017,29.24
30/4/2017,30.32
1/5/2017,28.68
2/5/2017,28.61
3/5/2017,28.73
4/5/2017,28.83
5/5/2017,28.97
6/5/2017,29.53
7/5/2017,29
8/5/2017,28.94
9/5/2017,29.36
10/5/2017,30.93
11/5/2017,29.76
12/5/2017,30.12
13/5/2017,30.2
14/5/2017,29.79
15/5/2017,29.42
16/5/2017,30.14
17/5/2017,30.14
18/5/2017,29.55
19/5/2017,30.81
20/5/2017,30.88
21/5/2017,29.91
22/5/2017,29.91
23/5/2017,30.06
24/5/2017,30.27
25/5/2017,29.92
26/5/2017,30
27/5/2017,29.7
28/5/2017,29.52
29/5/2017,29.02
30/5/2017,29.99
31/5/2017,30.45
1/6/2017,29.52
2/6/2017,29.27
3/6/2017,29.43
4/6/2017,29.88
5/6/2017,29.31
6/6/2017,29.25
7/6/2017,29.14
8/6/2017,29.06
9/6/2017,29
10/6/2017,29.83
11/6/2017,30.09
12/6/2017,29.15
13/6/2017,28.93
14/6/2017,29.28
15/6/2017,29.4
16/6/2017,29.21
17/6/2017,29.23
18/6/2017,29.47
19/6/2017,29.4
20/6/2017,29.5
21/6/2017,29.57
22/6/2017,29.78
23/6/2017,29.48
24/6/2017,28.97
25/6/2017,28.95
26/6/2017,28.84
27/6/2017,28.84
28/6/2017,28.83
29/6/2017,28.3
30/6/2017,28.4
1/7/2017,29.73
2/7/2017,30.11
3/7/2017,29.76
4/7/2017,30.41
5/7/2017,30.74
6/7/2017,29.94
7/7/2017,29.34
8/7/2017,29.4
9/7/2017,29.86
10/7/2017,29.7
11/7/2017,30.76
12/7/2017,30.5
13/7/2017,30.03
14/7/2017,30.16
15/7/2017,29.5
16/7/2017,29.14
17/7/2017,28.97
18/7/2017,28.89
19/7/2017,28.78
20/7/2017,28.81
21/7/2017,28.82
22/7/2017,28.87
23/7/2017,29.04
24/7/2017,28.83
25/7/2017,28.54
26/7/2017,28.48
27/7/2017,28.4
28/7/2017,28.35
29/7/2017,30.46
30/7/2017,30.72
31/7/2017,30.61
1/8/2017,28.82
2/8/2017,28.94
3/8/2017,28.82
4/8/2017,28.49
5/8/2017,28.45
6/8/2017,28.36
7/8/2017,28.4
8/8/2017,28.93
9/8/2017,28.88
10/8/2017,29.58
11/8/2017,29.54
12/8/2017,29.9
13/8/2017,29.76
14/8/2017,29.59
15/8/2017,29.7
16/8/2017,29.56
17/8/2017,28.99
18/8/2017,28.94
19/8/2017,28.93
20/8/2017,28.72
21/8/2017,28.85
22/8/2017,29.68
23/8/2017,29.33
24/8/2017,29.13
25/8/2017,30.16
26/8/2017,30.62
27/8/2017,31.02
28/8/2017,29.88
29/8/2017,30.47
30/8/2017,30.6
31/8/2017,30.6
1/9/2017,29.9
2/9/2017,30.28
3/9/2017,30.03
4/9/2017,30.17
5/9/2017,29.87
6/9/2017,30.64
7/9/2017,30.91
8/9/2017,30.36
9/9/2017,30.07
10/9/2017,29.57
11/9/2017,30.02
12/9/2017,31.04
13/9/2017,29.91
14/9/2017,29.63
15/9/2017,29.82
16/9/2017,29.9
17/9/2017,29.77
18/9/2017,30.56
19/9/2017,30.85
20/9/2017,30.67
21/9/2017,30.4
22/9/2017,29.9
23/9/2017,30.08
24/9/2017,29.49
25/9/2017,29.43
26/9/2017,30.05
27/9/2017,30.87
28/9/2017,30.09
29/9/2017,30.58
30/9/2017,30.25
1/10/2017,30.63
2/10/2017,30.85
3/10/2017,30.69
4/10/2017,30.12
5/10/2017,29.97
6/10/2017,29.75
7/10/2017,29.65
8/10/2017,30.26
9/10/2017,29.81
10/10/2017,30.35
11/10/2017,30.75
12/10/2017,30.13
13/10/2017,30.96
14/10/2017,30.91
15/10/2017,29.8
16/10/2017,29.45
17/10/2017,29.35
18/10/2017,29.39
19/10/2017,29.58
20/10/2017,29.25
21/10/2017,29.16
22/10/2017,29.27
23/10/2017,28.94
24/10/2017,29.2
25/10/2017,29.13
26/10/2017,30.06
27/10/2017,29.34
28/10/2017,30.64
29/10/2017,35.3
30/10/2017,32.03
31/10/2017,32.03
1/11/2017,29.77
2/11/2017,29.95
3/11/2017,30.34
4/11/2017,30.31
5/11/2017,30.95
6/11/2017,32.19
7/11/2017,30.91
8/11/2017,30.81
9/11/2017,32.51
10/11/2017,31.74
11/11/2017,30.81
12/11/2017,31.64
13/11/2017,31.05
14/11/2017,31.35
15/11/2017,31.81
16/11/2017,31.65
17/11/2017,31.62
18/11/2017,31.1
19/11/2017,30.28
20/11/2017,30.39
21/11/2017,30.23
22/11/2017,30.33
23/11/2017,30.27
24/11/2017,30.22
25/11/2017,30.32
26/11/2017,30.56
27/11/2017,32.07
28/11/2017,35.55
29/11/2017,29.94
30/11/2017,30.43
1/12/2017,34.26
2/12/2017,34.35
3/12/2017,32.61
4/12/2017,32.03
5/12/2017,33.35
6/12/2017,34.14
7/12/2017,32.92
8/12/2017,32.42
9/12/2017,32.21
10/12/2017,31.37
11/12/2017,30.93
12/12/2017,30.91
13/12/2017,30.87
14/12/2017,30.65
15/12/2017,30.52
16/12/2017,30.46
17/12/2017,30.4
18/12/2017,30.3
19/12/2017,30.15
20/12/2017,30.42
21/12/2017,30.23
22/12/2017,30.3
23/12/2017,30.46
24/12/2017,30.47
25/12/2017,30.23
26/12/2017,30
27/12/2017,30.09
28/12/2017,29.89
29/12/2017,29.89
30/12/2017,29.89
31/12/2017,29.89
1/1/2018,33.28
2/1/2018,36.71
3/1/2018,34.98
4/1/2018,34.41
5/1/2018,32.69
6/1/2018,31.68
7/1/2018,31.65
8/1/2018,31.99
9/1/2018,31.94
10/1/2018,31.63
11/1/2018,31.35
12/1/2018,32.21
13/1/2018,33.58
14/1/2018,32.09
15/1/2018,31.11
16/1/2018,31
17/1/2018,30.76
18/1/2018,30.55
19/1/2018,30.4
20/1/2018,30.54
21/1/2018,30.79
22/1/2018,30.61
23/1/2018,31.2
24/1/2018,30.92
25/1/2018,30.75
26/1/2018,30.56
27/1/2018,30.07
28/1/2018,29.86
29/1/2018,30.22
30/1/2018,30.04
31/1/2018,30.21
1/2/2018,29.99
2/2/2018,30.03
3/2/2018,30.28
4/2/2018,29.73
5/2/2018,29.55
6/2/2018,29.77
7/2/2018,29.62
8/2/2018,29.59
9/2/2018,29.43
10/2/2018,29.12
11/2/2018,29.35
12/2/2018,29.35
13/2/2018,29.16
14/2/2018,29.14
15/2/2018,29.26
16/2/2018,29.12
17/2/2018,29.14
18/2/2018,29.37
19/2/2018,28.87
20/2/2018,29.4
21/2/2018,29.23
22/2/2018,29.23
23/2/2018,29.23
24/2/2018,29.23
25/2/2018,29.23
26/2/2018,29.23
27/2/2018,29.23
28/2/2018,29.23
1/3/2018,28.67
2/3/2018,28.67
3/3/2018,28.67
4/3/2018,28.67
5/3/2018,28.67
6/3/2018,28.67
7/3/2018,28.67
8/3/2018,28.67
9/3/2018,28.67
10/3/2018,28.67
11/3/2018,28.67
12/3/2018,28.67
13/3/2018,28.67
14/3/2018,28.67
15/3/2018,28.67
16/3/2018,28.72
17/3/2018,29.42
18/3/2018,29.04
19/3/2018,29.04
20/3/2018,29.04
21/3/2018,29.04
22/3/2018,29.04
23/3/2018,29.04
24/3/2018,29.04
25/3/2018,29.04
26/3/2018,29.04
27/3/2018,29.04
28/3/2018,29.04
29/3/2018,29.12
30/3/2018,29.42
31/3/2018,29.64
1/4/2018,29.39
2/4/2018,29.39
3/4/2018,29.39
4/4/2018,29.39
5/4/2018,29.39
6/4/2018,29.39
7/4/2018,29.39
8/4/2018,29.39
9/4/2018,29.39
10/4/2018,29.39
11/4/2018,29.39
12/4/2018,29.39
13/4/2018,29.39
14/4/2018,29.39
15/4/2018,29.39
16/4/2018,29.39
17/4/2018,29.39
18/4/2018,29.39
19/4/2018,29.39
20/4/2018,29.39
21/4/2018,29.39
22/4/2018,29.39
23/4/2018,29.39
24/4/2018,29.39
25/4/2018,29.39
26/4/2018,29.64
27/4/2018,29.36
28/4/2018,29.39
29/4/2018,29.51
30/4/2018,28.03
1/5/2018,29.9
2/5/2018,30.57
3/5/2018,29.7
4/5/2018,29.41
5/5/2018,29.38
6/5/2018,29.37
7/5/2018,29.36
8/5/2018,30.47
9/5/2018,30.22
10/5/2018,29.51
11/5/2018,29.45
12/5/2018,29.12
13/5/2018,29.24
14/5/2018,29.37
15/5/2018,29.66
16/5/2018,29.65
17/5/2018,30.25
18/5/2018,30.12
19/5/2018,29.8
20/5/2018,29.7
21/5/2018,29.57
22/5/2018,30.14
23/5/2018,30.01
24/5/2018,30.38
25/5/2018,30.13
26/5/2018,29.48
27/5/2018,30.21
28/5/2018,30.16
29/5/2018,30.68
30/5/2018,30.32
31/5/2018,26.27
1/6/2018,30.16
2/6/2018,30.16
3/6/2018,30.53
4/6/2018,29.81
5/6/2018,29.3
6/6/2018,29.17
7/6/2018,29.14
8/6/2018,29.24
9/6/2018,29.53
10/6/2018,29.35
11/6/2018,29.31
12/6/2018,29.39
13/6/2018,29.31
14/6/2018,29.64
15/6/2018,29.51
16/6/2018,29.32
17/6/2018,29.21
18/6/2018,29.36
19/6/2018,29.71
20/6/2018,29.47
21/6/2018,30.16
22/6/2018,30.28
23/6/2018,30.89
24/6/2018,31.68
25/6/2018,32.03
26/6/2018,32.59
27/6/2018,31.99
28/6/2018,30.68
29/6/2018,28.11
30/6/2018,28.03
1/7/2018,31.64
2/7/2018,31.38
3/7/2018,31.52
4/7/2018,32.34
5/7/2018,33.67
6/7/2018,33.68
7/7/2018,33.66
8/7/2018,32.09
9/7/2018,29.6
10/7/2018,29.49
